bed1,bed2,jaccA,jaccB
CTCF_hg38_c3.bed,EP300_hg38_c3.bed,0.190939,0.244849
BRCA1_hg38_c3.bed,EP400_hg38_c3.bed,0.129411,0.166055
CTCF_hg38_c3.bed,EP400_hg38_c3.bed,0.023707,0.035294
BRCA1_hg38_c3.bed,EPAS1_hg38_c3.bed,0.131505,0.165289
CTCF_hg38_c3.bed,EPAS1_hg38_c3.bed,0.030672,0.043938
BRCA1_hg38_c3.bed,ERF_hg38_c3.bed,0.094249,0.125286
CTCF_hg38_c3.bed,ERF_hg38_c3.bed,0.054635,0.075188
BRCA1_hg38_c3.bed,ERG_hg38_c3.bed,0.065366,0.088053
CTCF_hg38_c3.bed,ERG_hg38_c3.bed,0.198848,0.253745
BRCA1_hg38_c3.bed,ESR1_hg38_c3.bed,0.039245,0.055776
CTCF_hg38_c3.bed,ESR1_hg38_c3.bed,0.259820,0.320227
BRCA1_hg38_c3.bed,ESR2_hg38_c3.bed,0.093117,0.118136
CTCF_hg38_c3.bed,ESR2_hg38_c3.bed,0.028881,0.038491
BRCA1_hg38_c3.bed,ESRRA_hg38_c3.bed,0.107536,0.137766
CTCF_hg38_c3.bed,ESRRA_hg38_c3.bed,0.075672,0.103915
BRCA1_hg38_c3.bed,ESRRB_hg38_c3.bed,0.002171,0.002609
CTCF_hg38_c3.bed,ESRRB_hg38_c3.bed,0.000463,0.000620
BRCA1_hg38_c3.bed,ESRRG_hg38_c3.bed,0.039089,0.050690
CTCF_hg38_c3.bed,ESRRG_hg38_c3.bed,0.033887,0.044403
BRCA1_hg38_c3.bed,ETS1_hg38_c3.bed,0.115785,0.145345
CTCF_hg38_c3.bed,ETS1_hg38_c3.bed,0.156169,0.202848
BRCA1_hg38_c3.bed,ETS2_hg38_c3.bed,0.004612,0.006157
CTCF_hg38_c3.bed,ETS2_hg38_c3.bed,0.000463,0.000722
BRCA1_hg38_c3.bed,ETV1_hg38_c3.bed,0.133990,0.166796
CTCF_hg38_c3.bed,ETV1_hg38_c3.bed,0.080638,0.109648
BRCA1_hg38_c3.bed,ETV2_hg38_c3.bed,0.035210,0.046769
CTCF_hg38_c3.bed,ETV2_hg38_c3.bed,0.009801,0.013786
BRCA1_hg38_c3.bed,ETV4_hg38_c3.bed,0.152652,0.190275
CTCF_hg38_c3.bed,ETV4_hg38_c3.bed,0.044733,0.063180
BRCA1_hg38_c3.bed,ETV6_hg38_c3.bed,0.068655,0.087522
CTCF_hg38_c3.bed,ETV6_hg38_c3.bed,0.041603,0.056742
BRCA1_hg38_c3.bed,EVI1_hg38_c3.bed,0.088075,0.113982
CTCF_hg38_c3.bed,EVI1_hg38_c3.bed,0.041834,0.058377
BRCA1_hg38_c3.bed,EWSR1_hg38_c3.bed,0.002466,0.003167
CTCF_hg38_c3.bed,EWSR1_hg38_c3.bed,0.002114,0.002617
BRCA1_hg38_c3.bed,EZH1_hg38_c3.bed,0.134733,0.176663
CTCF_hg38_c3.bed,EZH1_hg38_c3.bed,0.045879,0.064134
BRCA1_hg38_c3.bed,EZH2_hg38_c3.bed,0.049108,0.071121
CTCF_hg38_c3.bed,EZH2_hg38_c3.bed,0.194162,0.244994
BRCA1_hg38_c3.bed,FANCD2_hg38_c3.bed,0.000613,0.000697
CTCF_hg38_c3.bed,FANCD2_hg38_c3.bed,0.000443,0.000491
BRCA1_hg38_c3.bed,FANCL_hg38_c3.bed,0.064142,0.081889
CTCF_hg38_c3.bed,FANCL_hg38_c3.bed,0.008177,0.011774
BRCA1_hg38_c3.bed,FEZF1_hg38_c3.bed,0.101487,0.128801
CTCF_hg38_c3.bed,FEZF1_hg38_c3.bed,0.044370,0.061988
BRCA1_hg38_c3.bed,FIP1L1_hg38_c3.bed,0.172665,0.214886
CTCF_hg38_c3.bed,FIP1L1_hg38_c3.bed,0.055323,0.074455
BRCA1_hg38_c3.bed,FLI1_hg38_c3.bed,0.100142,0.127731
CTCF_hg38_c3.bed,FLI1_hg38_c3.bed,0.149465,0.195631
BRCA1_hg38_c3.bed,FOSB_hg38_c3.bed,0.006451,0.007681
CTCF_hg38_c3.bed,FOSB_hg38_c3.bed,0.001576,0.002056
BRCA1_hg38_c3.bed,FOSL1_hg38_c3.bed,0.128372,0.156534
CTCF_hg38_c3.bed,FOSL1_hg38_c3.bed,0.084425,0.114204
BRCA1_hg38_c3.bed,FOSL2_hg38_c3.bed,0.111818,0.139916
CTCF_hg38_c3.bed,FOSL2_hg38_c3.bed,0.108114,0.144582
BRCA1_hg38_c3.bed,FOS_hg38_c3.bed,0.083402,0.106710
CTCF_hg38_c3.bed,FOS_hg38_c3.bed,0.163535,0.211670
BRCA1_hg38_c3.bed,FOXA1_hg38_c3.bed,0.046695,0.065965
CTCF_hg38_c3.bed,FOXA1_hg38_c3.bed,0.177596,0.229996
BRCA1_hg38_c3.bed,FOXA2_hg38_c3.bed,0.063101,0.086931
CTCF_hg38_c3.bed,FOXA2_hg38_c3.bed,0.132095,0.174080
BRCA1_hg38_c3.bed,FOXF1_hg38_c3.bed,0.032282,0.041423
CTCF_hg38_c3.bed,FOXF1_hg38_c3.bed,0.019923,0.026451
BRCA1_hg38_c3.bed,FOXF2_hg38_c3.bed,0.019815,0.024245
CTCF_hg38_c3.bed,FOXF2_hg38_c3.bed,0.003611,0.005122
BRCA1_hg38_c3.bed,FOXJ2_hg38_c3.bed,0.006351,0.008356
CTCF_hg38_c3.bed,FOXJ2_hg38_c3.bed,0.001617,0.002384
BRCA1_hg38_c3.bed,FOXJ3_hg38_c3.bed,0.058311,0.076298
CTCF_hg38_c3.bed,FOXJ3_hg38_c3.bed,0.015306,0.022387
BRCA1_hg38_c3.bed,FOXK1_hg38_c3.bed,0.149941,0.185113
CTCF_hg38_c3.bed,FOXK1_hg38_c3.bed,0.079610,0.109470
BRCA1_hg38_c3.bed,FOXK2_hg38_c3.bed,0.103964,0.134128
CTCF_hg38_c3.bed,FOXK2_hg38_c3.bed,0.045826,0.064981
BRCA1_hg38_c3.bed,FOXL2_hg38_c3.bed,0.114356,0.148520
CTCF_hg38_c3.bed,FOXL2_hg38_c3.bed,0.075443,0.103181
BRCA1_hg38_c3.bed,FOXM1_hg38_c3.bed,0.130848,0.159337
CTCF_hg38_c3.bed,FOXM1_hg38_c3.bed,0.066022,0.092278
BRCA1_hg38_c3.bed,FOXO1-PAX3_hg38_c3.bed,0.054588,0.076122
CTCF_hg38_c3.bed,FOXO1-PAX3_hg38_c3.bed,0.036607,0.049053
BRCA1_hg38_c3.bed,FOXO1_hg38_c3.bed,0.086583,0.117357
CTCF_hg38_c3.bed,FOXO1_hg38_c3.bed,0.135392,0.175360
BRCA1_hg38_c3.bed,FOXO3_hg38_c3.bed,0.119961,0.147006
CTCF_hg38_c3.bed,FOXO3_hg38_c3.bed,0.027455,0.037723
BRCA1_hg38_c3.bed,FOXP1_hg38_c3.bed,0.114512,0.144966
CTCF_hg38_c3.bed,FOXP1_hg38_c3.bed,0.111722,0.149185
BRCA1_hg38_c3.bed,FOXP2_hg38_c3.bed,0.195112,0.236819
CTCF_hg38_c3.bed,FOXP2_hg38_c3.bed,0.045449,0.063027
BRCA1_hg38_c3.bed,FOXP4_hg38_c3.bed,0.148085,0.183180
CTCF_hg38_c3.bed,FOXP4_hg38_c3.bed,0.056922,0.079713
BRCA1_hg38_c3.bed,FOXS1_hg38_c3.bed,0.008199,0.010203
CTCF_hg38_c3.bed,FOXS1_hg38_c3.bed,0.001418,0.002022
BRCA1_hg38_c3.bed,FUS_hg38_c3.bed,0.119397,0.144933
CTCF_hg38_c3.bed,FUS_hg38_c3.bed,0.019063,0.025869
BRCA1_hg38_c3.bed,GABPA_hg38_c3.bed,0.106934,0.138056
CTCF_hg38_c3.bed,GABPA_hg38_c3.bed,0.135746,0.178119
BRCA1_hg38_c3.bed,GABPB1_hg38_c3.bed,0.127873,0.165105
CTCF_hg38_c3.bed,GABPB1_hg38_c3.bed,0.035394,0.051108
BRCA1_hg38_c3.bed,GATA1_hg38_c3.bed,0.078192,0.107099
CTCF_hg38_c3.bed,GATA1_hg38_c3.bed,0.091311,0.120882
BRCA1_hg38_c3.bed,GATA2_hg38_c3.bed,0.063752,0.084837
CTCF_hg38_c3.bed,GATA2_hg38_c3.bed,0.171024,0.220977
BRCA1_hg38_c3.bed,GATA3_hg38_c3.bed,0.077802,0.102847
CTCF_hg38_c3.bed,GATA3_hg38_c3.bed,0.135290,0.176753
BRCA1_hg38_c3.bed,GATA4_hg38_c3.bed,0.066943,0.090399
CTCF_hg38_c3.bed,GATA4_hg38_c3.bed,0.097074,0.128168
BRCA1_hg38_c3.bed,GATA6_hg38_c3.bed,0.082418,0.110534
CTCF_hg38_c3.bed,GATA6_hg38_c3.bed,0.114414,0.149789
BRCA1_hg38_c3.bed,GATAD1_hg38_c3.bed,0.100758,0.129486
CTCF_hg38_c3.bed,GATAD1_hg38_c3.bed,0.012102,0.018048
BRCA1_hg38_c3.bed,GATAD2A_hg38_c3.bed,0.027097,0.033695
CTCF_hg38_c3.bed,GATAD2A_hg38_c3.bed,0.005870,0.008399
BRCA1_hg38_c3.bed,GATAD2B_hg38_c3.bed,0.139620,0.172535
CTCF_hg38_c3.bed,GATAD2B_hg38_c3.bed,0.063309,0.088101
BRCA1_hg38_c3.bed,GFI1B_hg38_c3.bed,0.159321,0.192902
CTCF_hg38_c3.bed,GFI1B_hg38_c3.bed,0.081380,0.112070
BRCA1_hg38_c3.bed,GFI1_hg38_c3.bed,0.150638,0.182181
CTCF_hg38_c3.bed,GFI1_hg38_c3.bed,0.089898,0.123274
BRCA1_hg38_c3.bed,GLI1_hg38_c3.bed,0.000017,0.000029
CTCF_hg38_c3.bed,GLI1_hg38_c3.bed,0.000035,0.000043
BRCA1_hg38_c3.bed,GLI2_hg38_c3.bed,0.010381,0.013139
CTCF_hg38_c3.bed,GLI2_hg38_c3.bed,0.002106,0.003129
BRCA1_hg38_c3.bed,GLI4_hg38_c3.bed,0.055244,0.071327
CTCF_hg38_c3.bed,GLI4_hg38_c3.bed,0.008152,0.011729
BRCA1_hg38_c3.bed,GLIS1_hg38_c3.bed,0.124409,0.161007
CTCF_hg38_c3.bed,GLIS1_hg38_c3.bed,0.072199,0.099226
BRCA1_hg38_c3.bed,GLIS2_hg38_c3.bed,0.147334,0.188618
CTCF_hg38_c3.bed,GLIS2_hg38_c3.bed,0.064816,0.087663
BRCA1_hg38_c3.bed,GLIS3_hg38_c3.bed,0.076140,0.096919
CTCF_hg38_c3.bed,GLIS3_hg38_c3.bed,0.050644,0.066306
BRCA1_hg38_c3.bed,GLYR1_hg38_c3.bed,0.003224,0.004122
CTCF_hg38_c3.bed,GLYR1_hg38_c3.bed,0.006267,0.007440
BRCA1_hg38_c3.bed,GMEB1_hg38_c3.bed,0.175207,0.213652
CTCF_hg38_c3.bed,GMEB1_hg38_c3.bed,0.053355,0.075845
BRCA1_hg38_c3.bed,GMEB2_hg38_c3.bed,0.122627,0.158703
CTCF_hg38_c3.bed,GMEB2_hg38_c3.bed,0.014450,0.021898
BRCA1_hg38_c3.bed,GPS2_hg38_c3.bed,0.035345,0.042046
CTCF_hg38_c3.bed,GPS2_hg38_c3.bed,0.011770,0.016040
BRCA1_hg38_c3.bed,GRHL1_hg38_c3.bed,0.016597,0.020913
CTCF_hg38_c3.bed,GRHL1_hg38_c3.bed,0.008685,0.011861
BRCA1_hg38_c3.bed,GRHL2_hg38_c3.bed,0.104574,0.136440
CTCF_hg38_c3.bed,GRHL2_hg38_c3.bed,0.095391,0.126327
BRCA1_hg38_c3.bed,GSPT2_hg38_c3.bed,0.082540,0.112338
CTCF_hg38_c3.bed,GSPT2_hg38_c3.bed,0.023021,0.032165
BRCA1_hg38_c3.bed,GTF2A2_hg38_c3.bed,0.014356,0.017882
CTCF_hg38_c3.bed,GTF2A2_hg38_c3.bed,0.002181,0.003119
BRCA1_hg38_c3.bed,GTF2B_hg38_c3.bed,0.193823,0.246346
CTCF_hg38_c3.bed,GTF2B_hg38_c3.bed,0.035433,0.050051
BRCA1_hg38_c3.bed,GTF2F1_hg38_c3.bed,0.204414,0.244846
CTCF_hg38_c3.bed,GTF2F1_hg38_c3.bed,0.095888,0.130385
BRCA1_hg38_c3.bed,GTF3A_hg38_c3.bed,0.000576,0.000620
CTCF_hg38_c3.bed,GTF3A_hg38_c3.bed,0.000099,0.000126
BRCA1_hg38_c3.bed,GTF3C2_hg38_c3.bed,0.096684,0.130603
CTCF_hg38_c3.bed,GTF3C2_hg38_c3.bed,0.043150,0.059099
BRCA1_hg38_c3.bed,GTF3C5_hg38_c3.bed,0.022930,0.028771
CTCF_hg38_c3.bed,GTF3C5_hg38_c3.bed,0.003352,0.004785
BRCA1_hg38_c3.bed,HAND2_hg38_c3.bed,0.064400,0.085511
CTCF_hg38_c3.bed,HAND2_hg38_c3.bed,0.062739,0.082568
BRCA1_hg38_c3.bed,HBP1_hg38_c3.bed,0.184055,0.224506
CTCF_hg38_c3.bed,HBP1_hg38_c3.bed,0.039446,0.055095
BRCA1_hg38_c3.bed,HCFC1R1_hg38_c3.bed,0.009722,0.011963
CTCF_hg38_c3.bed,HCFC1R1_hg38_c3.bed,0.012697,0.015621
BRCA1_hg38_c3.bed,HCFC1_hg38_c3.bed,0.183367,0.224804
CTCF_hg38_c3.bed,HCFC1_hg38_c3.bed,0.076626,0.103709
BRCA1_hg38_c3.bed,HDAC1_hg38_c3.bed,0.120518,0.145802
CTCF_hg38_c3.bed,HDAC1_hg38_c3.bed,0.142045,0.187166
BRCA1_hg38_c3.bed,HDAC2_hg38_c3.bed,0.085678,0.108512
CTCF_hg38_c3.bed,HDAC2_hg38_c3.bed,0.195653,0.249608
BRCA1_hg38_c3.bed,HDAC3_hg38_c3.bed,0.095912,0.128418
CTCF_hg38_c3.bed,HDAC3_hg38_c3.bed,0.073516,0.099295
BRCA1_hg38_c3.bed,HDAC6_hg38_c3.bed,0.088587,0.111604
CTCF_hg38_c3.bed,HDAC6_hg38_c3.bed,0.017023,0.023521
BRCA1_hg38_c3.bed,HDAC8_hg38_c3.bed,0.113407,0.147289
CTCF_hg38_c3.bed,HDAC8_hg38_c3.bed,0.031928,0.045507
BRCA1_hg38_c3.bed,HDGF_hg38_c3.bed,0.075045,0.099923
CTCF_hg38_c3.bed,HDGF_hg38_c3.bed,0.067929,0.091104
BRCA1_hg38_c3.bed,HES1_hg38_c3.bed,0.036454,0.044894
CTCF_hg38_c3.bed,HES1_hg38_c3.bed,0.014079,0.019759
BRCA1_hg38_c3.bed,HEXIM1-CDK9_hg38_c3.bed,0.001066,0.001177
CTCF_hg38_c3.bed,HEXIM1-CDK9_hg38_c3.bed,0.001379,0.001580
BRCA1_hg38_c3.bed,HEXIM1_hg38_c3.bed,0.114059,0.148497
CTCF_hg38_c3.bed,HEXIM1_hg38_c3.bed,0.077769,0.100250
BRCA1_hg38_c3.bed,HEY1_hg38_c3.bed,0.005223,0.006497
CTCF_hg38_c3.bed,HEY1_hg38_c3.bed,0.001598,0.002277
BRCA1_hg38_c3.bed,HEY2_hg38_c3.bed,0.001768,0.002144
CTCF_hg38_c3.bed,HEY2_hg38_c3.bed,0.000650,0.000875
BRCA1_hg38_c3.bed,HHEX_hg38_c3.bed,0.011391,0.014544
CTCF_hg38_c3.bed,HHEX_hg38_c3.bed,0.004749,0.006812
BRCA1_hg38_c3.bed,HIC1_hg38_c3.bed,0.105208,0.131987
CTCF_hg38_c3.bed,HIC1_hg38_c3.bed,0.030869,0.042493
BRCA1_hg38_c3.bed,HIF1A_hg38_c3.bed,0.126471,0.160922
CTCF_hg38_c3.bed,HIF1A_hg38_c3.bed,0.130153,0.170775
BRCA1_hg38_c3.bed,HIF3A_hg38_c3.bed,0.122960,0.158315
CTCF_hg38_c3.bed,HIF3A_hg38_c3.bed,0.048674,0.066126
BRCA1_hg38_c3.bed,HINFP_hg38_c3.bed,0.014322,0.018926
CTCF_hg38_c3.bed,HINFP_hg38_c3.bed,0.003210,0.004694
BRCA1_hg38_c3.bed,HIVEP1_hg38_c3.bed,0.127410,0.164414
CTCF_hg38_c3.bed,HIVEP1_hg38_c3.bed,0.081314,0.108301
BRCA1_hg38_c3.bed,HKR1_hg38_c3.bed,0.000646,0.000854
CTCF_hg38_c3.bed,HKR1_hg38_c3.bed,0.000133,0.000189
BRCA1_hg38_c3.bed,HLF_hg38_c3.bed,0.030365,0.040097
CTCF_hg38_c3.bed,HLF_hg38_c3.bed,0.021066,0.027653
BRCA1_hg38_c3.bed,HMBOX1_hg38_c3.bed,0.056353,0.072284
CTCF_hg38_c3.bed,HMBOX1_hg38_c3.bed,0.032939,0.045227
BRCA1_hg38_c3.bed,HMGA1_hg38_c3.bed,0.007058,0.007147
CTCF_hg38_c3.bed,HMGA1_hg38_c3.bed,0.008230,0.008715
BRCA1_hg38_c3.bed,HMGB1_hg38_c3.bed,0.061487,0.070271
CTCF_hg38_c3.bed,HMGB1_hg38_c3.bed,0.012012,0.015389
BRCA1_hg38_c3.bed,HMGB2_hg38_c3.bed,0.043477,0.056219
CTCF_hg38_c3.bed,HMGB2_hg38_c3.bed,0.021590,0.029687
BRCA1_hg38_c3.bed,HMGN3_hg38_c3.bed,0.156957,0.193583
CTCF_hg38_c3.bed,HMGN3_hg38_c3.bed,0.031560,0.043965
BRCA1_hg38_c3.bed,HMGXB4_hg38_c3.bed,0.145307,0.178560
CTCF_hg38_c3.bed,HMGXB4_hg38_c3.bed,0.093803,0.127198
BRCA1_hg38_c3.bed,HNF1A_hg38_c3.bed,0.047186,0.059986
CTCF_hg38_c3.bed,HNF1A_hg38_c3.bed,0.021330,0.029401
BRCA1_hg38_c3.bed,HNF1B_hg38_c3.bed,0.148664,0.186005
CTCF_hg38_c3.bed,HNF1B_hg38_c3.bed,0.075655,0.106392
BRCA1_hg38_c3.bed,HNF4A_hg38_c3.bed,0.103304,0.133945
CTCF_hg38_c3.bed,HNF4A_hg38_c3.bed,0.133129,0.174322
BRCA1_hg38_c3.bed,HNF4G_hg38_c3.bed,0.077384,0.097086
CTCF_hg38_c3.bed,HNF4G_hg38_c3.bed,0.047744,0.063577
BRCA1_hg38_c3.bed,HNRNPC_hg38_c3.bed,0.139986,0.175600
CTCF_hg38_c3.bed,HNRNPC_hg38_c3.bed,0.027064,0.037930
BRCA1_hg38_c3.bed,HNRNPH1_hg38_c3.bed,0.106975,0.138840
CTCF_hg38_c3.bed,HNRNPH1_hg38_c3.bed,0.060654,0.078664
BRCA1_hg38_c3.bed,HNRNPK_hg38_c3.bed,0.099159,0.133166
CTCF_hg38_c3.bed,HNRNPK_hg38_c3.bed,0.043294,0.056511
BRCA1_hg38_c3.bed,HNRNPLL_hg38_c3.bed,0.144127,0.182566
CTCF_hg38_c3.bed,HNRNPLL_hg38_c3.bed,0.089352,0.117361
BRCA1_hg38_c3.bed,HNRNPL_hg38_c3.bed,0.140990,0.176364
CTCF_hg38_c3.bed,HNRNPL_hg38_c3.bed,0.113722,0.145838
BRCA1_hg38_c3.bed,HNRNPUL1_hg38_c3.bed,0.067116,0.085472
CTCF_hg38_c3.bed,HNRNPUL1_hg38_c3.bed,0.016054,0.022085
BRCA1_hg38_c3.bed,HOMEZ_hg38_c3.bed,0.006963,0.008557
CTCF_hg38_c3.bed,HOMEZ_hg38_c3.bed,0.001164,0.001662
BRCA1_hg38_c3.bed,HOXA3_hg38_c3.bed,0.138872,0.174713
CTCF_hg38_c3.bed,HOXA3_hg38_c3.bed,0.082105,0.111467
BRCA1_hg38_c3.bed,HOXA7_hg38_c3.bed,0.006656,0.007895
CTCF_hg38_c3.bed,HOXA7_hg38_c3.bed,0.001829,0.002361
BRCA1_hg38_c3.bed,HOXA9_hg38_c3.bed,0.026797,0.031060
CTCF_hg38_c3.bed,HOXA9_hg38_c3.bed,0.015525,0.019636
BRCA1_hg38_c3.bed,HOXB13_hg38_c3.bed,0.076608,0.104685
CTCF_hg38_c3.bed,HOXB13_hg38_c3.bed,0.113565,0.150198
BRCA1_hg38_c3.bed,HOXB5_hg38_c3.bed,0.048262,0.060105
CTCF_hg38_c3.bed,HOXB5_hg38_c3.bed,0.008295,0.011797
BRCA1_hg38_c3.bed,HOXB7_hg38_c3.bed,0.000785,0.000979
CTCF_hg38_c3.bed,HOXB7_hg38_c3.bed,0.000179,0.000259
BRCA1_hg38_c3.bed,HOXB8_hg38_c3.bed,0.074635,0.097098
CTCF_hg38_c3.bed,HOXB8_hg38_c3.bed,0.046539,0.065000
BRCA1_hg38_c3.bed,HOXC5_hg38_c3.bed,0.019967,0.025058
CTCF_hg38_c3.bed,HOXC5_hg38_c3.bed,0.003512,0.005172
BRCA1_hg38_c3.bed,HOXC6_hg38_c3.bed,0.013158,0.014951
CTCF_hg38_c3.bed,HOXC6_hg38_c3.bed,0.011452,0.014382
BRCA1_hg38_c3.bed,HSF1_hg38_c3.bed,0.143290,0.185822
CTCF_hg38_c3.bed,HSF1_hg38_c3.bed,0.080978,0.110907
BRCA1_hg38_c3.bed,HSF2_hg38_c3.bed,0.028224,0.036836
CTCF_hg38_c3.bed,HSF2_hg38_c3.bed,0.005723,0.008181
BRCA1_hg38_c3.bed,ICE1_hg38_c3.bed,0.006208,0.008195
CTCF_hg38_c3.bed,ICE1_hg38_c3.bed,0.000875,0.001322
BRCA1_hg38_c3.bed,ICE2_hg38_c3.bed,0.013896,0.018061
CTCF_hg38_c3.bed,ICE2_hg38_c3.bed,0.002815,0.004110
BRCA1_hg38_c3.bed,ID3_hg38_c3.bed,0.128187,0.155422
CTCF_hg38_c3.bed,ID3_hg38_c3.bed,0.102594,0.139068
BRCA1_hg38_c3.bed,IFNA1_hg38_c3.bed,0.073762,0.094420
CTCF_hg38_c3.bed,IFNA1_hg38_c3.bed,0.039998,0.050971
BRCA1_hg38_c3.bed,IKZF1_hg38_c3.bed,0.084732,0.109834
CTCF_hg38_c3.bed,IKZF1_hg38_c3.bed,0.109260,0.146504
BRCA1_hg38_c3.bed,IKZF2_hg38_c3.bed,0.081904,0.103093
CTCF_hg38_c3.bed,IKZF2_hg38_c3.bed,0.053103,0.073191
BRCA1_hg38_c3.bed,IKZF3_hg38_c3.bed,0.130546,0.162237
CTCF_hg38_c3.bed,IKZF3_hg38_c3.bed,0.079575,0.108422
BRCA1_hg38_c3.bed,ILF3_hg38_c3.bed,0.150365,0.186519
CTCF_hg38_c3.bed,ILF3_hg38_c3.bed,0.064217,0.091880
BRCA1_hg38_c3.bed,ILK_hg38_c3.bed,0.002970,0.004117
CTCF_hg38_c3.bed,ILK_hg38_c3.bed,0.001512,0.002131
BRCA1_hg38_c3.bed,INO80_hg38_c3.bed,0.153347,0.195941
CTCF_hg38_c3.bed,INO80_hg38_c3.bed,0.048716,0.066603
BRCA1_hg38_c3.bed,INSM2_hg38_c3.bed,0.138981,0.174899
CTCF_hg38_c3.bed,INSM2_hg38_c3.bed,0.025599,0.037420
BRCA1_hg38_c3.bed,INTS11_hg38_c3.bed,0.223612,0.273866
CTCF_hg38_c3.bed,INTS11_hg38_c3.bed,0.051269,0.071696
BRCA1_hg38_c3.bed,INTS13_hg38_c3.bed,0.174295,0.216426
CTCF_hg38_c3.bed,INTS13_hg38_c3.bed,0.041984,0.058871
BRCA1_hg38_c3.bed,IRF1_hg38_c3.bed,0.140959,0.177095
CTCF_hg38_c3.bed,IRF1_hg38_c3.bed,0.083039,0.114273
BRCA1_hg38_c3.bed,IRF2BP2_hg38_c3.bed,0.065739,0.085130
CTCF_hg38_c3.bed,IRF2BP2_hg38_c3.bed,0.020239,0.028714
BRCA1_hg38_c3.bed,IRF2_hg38_c3.bed,0.166170,0.207395
CTCF_hg38_c3.bed,IRF2_hg38_c3.bed,0.073888,0.101591
BRCA1_hg38_c3.bed,IRF3_hg38_c3.bed,0.056025,0.071958
CTCF_hg38_c3.bed,IRF3_hg38_c3.bed,0.007117,0.010693
BRCA1_hg38_c3.bed,IRF4_hg38_c3.bed,0.105344,0.136094
CTCF_hg38_c3.bed,IRF4_hg38_c3.bed,0.114537,0.150964
BRCA1_hg38_c3.bed,IRF5_hg38_c3.bed,0.016500,0.021825
CTCF_hg38_c3.bed,IRF5_hg38_c3.bed,0.004335,0.006006
BRCA1_hg38_c3.bed,IRF8_hg38_c3.bed,0.027882,0.034960
CTCF_hg38_c3.bed,IRF8_hg38_c3.bed,0.012091,0.016089
BRCA1_hg38_c3.bed,IRF9_hg38_c3.bed,0.021422,0.027436
CTCF_hg38_c3.bed,IRF9_hg38_c3.bed,0.006445,0.009156
BRCA1_hg38_c3.bed,ISL1_hg38_c3.bed,0.042838,0.057033
CTCF_hg38_c3.bed,ISL1_hg38_c3.bed,0.029947,0.039672
BRCA1_hg38_c3.bed,ISL2_hg38_c3.bed,0.160821,0.198066
CTCF_hg38_c3.bed,ISL2_hg38_c3.bed,0.046337,0.065473
BRCA1_hg38_c3.bed,JARID2_hg38_c3.bed,0.101460,0.128044
CTCF_hg38_c3.bed,JARID2_hg38_c3.bed,0.062018,0.080103
BRCA1_hg38_c3.bed,JDP2_hg38_c3.bed,0.022505,0.028247
CTCF_hg38_c3.bed,JDP2_hg38_c3.bed,0.002297,0.003429
BRCA1_hg38_c3.bed,JMJD1C_hg38_c3.bed,0.127996,0.159448
CTCF_hg38_c3.bed,JMJD1C_hg38_c3.bed,0.109086,0.144426
BRCA1_hg38_c3.bed,JMJD6_hg38_c3.bed,0.070332,0.089378
CTCF_hg38_c3.bed,JMJD6_hg38_c3.bed,0.018698,0.027122
BRCA1_hg38_c3.bed,JUNB_hg38_c3.bed,0.094004,0.120083
CTCF_hg38_c3.bed,JUNB_hg38_c3.bed,0.120320,0.159515
BRCA1_hg38_c3.bed,JUND_hg38_c3.bed,0.111855,0.134969
CTCF_hg38_c3.bed,JUND_hg38_c3.bed,0.162055,0.212573
BRCA1_hg38_c3.bed,JUN_hg38_c3.bed,0.062245,0.080190
CTCF_hg38_c3.bed,JUN_hg38_c3.bed,0.228543,0.286981
BRCA1_hg38_c3.bed,KAT2A_hg38_c3.bed,0.128357,0.166324
CTCF_hg38_c3.bed,KAT2A_hg38_c3.bed,0.020795,0.030790
BRCA1_hg38_c3.bed,KAT2B_hg38_c3.bed,0.031069,0.040114
CTCF_hg38_c3.bed,KAT2B_hg38_c3.bed,0.005762,0.008199
BRCA1_hg38_c3.bed,KAT7_hg38_c3.bed,0.090350,0.121312
CTCF_hg38_c3.bed,KAT7_hg38_c3.bed,0.038902,0.051853
BRCA1_hg38_c3.bed,KAT8_hg38_c3.bed,0.004623,0.006325
CTCF_hg38_c3.bed,KAT8_hg38_c3.bed,0.000690,0.001055
BRCA1_hg38_c3.bed,KDM1A_hg38_c3.bed,0.087395,0.113498
CTCF_hg38_c3.bed,KDM1A_hg38_c3.bed,0.154838,0.202105
BRCA1_hg38_c3.bed,KDM3A_hg38_c3.bed,0.164116,0.203045
CTCF_hg38_c3.bed,KDM3A_hg38_c3.bed,0.069350,0.096296
BRCA1_hg38_c3.bed,KDM4A_hg38_c3.bed,0.172751,0.215869
CTCF_hg38_c3.bed,KDM4A_hg38_c3.bed,0.057042,0.076466
BRCA1_hg38_c3.bed,KDM4B_hg38_c3.bed,0.167599,0.208960
CTCF_hg38_c3.bed,KDM4B_hg38_c3.bed,0.032074,0.045317
BRCA1_hg38_c3.bed,KDM4C_hg38_c3.bed,0.139126,0.179763
CTCF_hg38_c3.bed,KDM4C_hg38_c3.bed,0.053655,0.069963
BRCA1_hg38_c3.bed,KDM5A_hg38_c3.bed,0.130729,0.171900
CTCF_hg38_c3.bed,KDM5A_hg38_c3.bed,0.017699,0.026356
BRCA1_hg38_c3.bed,KDM5B_hg38_c3.bed,0.134892,0.165306
